0:3591 1673 4968 1631 5919 5944 4620 5977
1:16045 6359 4179 3839 1538 14607 12244 14476
0:791 701 8800 2018 3007 1948 1400 3885
2:755 709 8721 1398 549 773 1350 132
0:1673 3591 4518 250 4649 9046 5758 1301
1:655 4137 971 953 2589 814 2798 4001
0:6723 7149 1508 7498 3292 7492 1700 7436
0:1557 3591 3404 1673 13640 1005 441 11105
1:2461 1937 2215 9133 17 3445 27 6979
1:7786 830 3091 1903 740 1115 4808 746
2:3660 2914 135 2445 4780 240 6393 1090
2:2914 888 2445 1456 1041 6393 2768 1919
0:16045 4179 14607 12244 6359 9026 1090 14476
0:2589 1038 888 2593 971 953 954 7054
0:12571 746 4808 483 2472 369 5120 2389
0:16045 14607 4179 6359 12244 15113 15815 15358
3:2462 2489 3175 2637 3012 4281 2794 1181
1:3591 5977 4620 4968 6416 5919 6572 4018
0:7790 14035 13912 3064 4604 6653 6862 6297
2:14177 9966 10605 9103 12842 11328 13443 12563
2:1090 9392 1005 1009 5633 4689 5630 1891
1:944 1665 9392 1104 2240 1009 1974 1891
4:281 2798 655 814 6971 3638 430 283
6:13410 14782 767 10632 3802 14276 15184 13301
1:28 14 477 1200 746 11567 380 2
0:1937 1137 2159 2164 1141 4958 5820 1763
2:1712 6416 5977 6572 1700 4620 4968 5919
2:740 2691 1115 830 838 6014 6802 8707
0:17 453 2216 3414 5267 226 3808 1181
1:1192 1104 1937 1974 1944 2240 1203 1090
0:8906 43 42 1500 1590 1568 107 62
0:1408 3818 10907 3100 571 1409 11588 6689
4:3981 7545 9103 5034 9966 7922 9164 8504
1:13410 14276 13863 3802 767 15184 15531 14715
2:2221 2240 4069 988 6218 1213 10065 2235
1:917 1395 2445 5690 3236 13194 2715 2914
0:1398 2087 1350 1130 549 11236 5546 1538
1:1090 5088 2914 546 861 135 642 3660
0:12571 13534 11887 13279 12453 2712 4808 14629
2:5633 5630 5624 5631 5620 5634 5617 5626
1:4808 7786 2653 1395 2712 3091 1380 1401
0:1755 914 1767 6314 1090 1903 1759 5820
2:888 1948 701 1919 1041 5413 3966 10921
1:921 521 453 5267 1213 1203 6231 1104
2:17 226 2216 477 453 380 14 28
0:418 1673 1648 47 1631 1557 11571 50
4:13410 13863 15531 14715 14276 15263 15184 13911
0:3125 15 1557 14 7049 3804 7579 1810
1:1673 767 2944 1213 2216 17 684 2240
0:2240 47 1203 50 1199 1631 9392 1104
4:9392 1203 1891 1665 1009 2240 944 4689
1:7545 3981 755 2462 2489 9103 2759 7170
4:2446 628 6437 2087 807 3045 5039 5456
0:11571 5913 11538 11577 12523 16105 1673 5108
0:11538 6729 5108 9914 465 2208 1190 7134
5:1673 1538 767 1537 4520 501 3601 2146
0:9133 1937 705 8753 9055 2461 2215 5768
5:14607 16045 12244 4179 15113 8531 6359 10681
0:13912 14035 15073 4604 7436 13247 11221 1508
1:1203 845 1009 1199 1974 9392 2240 837
0:1203 1104 1192 845 1944 1974 1199 1009
0:1665 247 9392 1009 4689 1181 521 6623
2:13912 14035 13247 15073 16045 4604 6653 7790
0:1903 917 1152 1910 1928 746 14607 1747
0:13912 10907 13247 13442 14035 4604 15073 14834
0:5690 1767 2711 426 2914 5807 16045 1090
1:14607 845 16045 11567 4179 829 2691 15098
3:3981 615 6347 2350 12571 5034 7763 7545
1:845 2393 2558 6497 15025 4174 10978 13783
0:14559 15082 16341 15461 16146 16045 7316 15209
2:2240 1090 1181 1104 247 1974 1203 921
1:17 453 226 2221 16 1213 921 2216
0:14 28 477 1200 746 11567 27 2
0:16045 1090 5690 3981 2715 2711 5809 12571
0:12082 5161 418 11571 2582 62 15354 8247
3:1557 13863 13410 1673 14715 15531 2944 14988
0:701 888 1948 1919 2164 4349 1137 3966
0:3591 446 4620 5919 4968 5977 6063 13055
7:13786 10539 13773 13663 4130 13778 13770 13718
0:3981 2489 9103 2462 7545 7922 9966 2794
0:977 3775 2596 2240 1665 2235 1181 1104
0:830 5963 8410 4516 1203 845 7169 1115
4:571 1408 3818 7192 6689 6297 10907 11588
0:1203 830 4808 7786 845 3091 746 1192
0:2715 3699 917 13194 2480 3236 4080 3016
0:1665 9392 1209 1009 944 4689 1891 2928
1:14607 17 755 2216 12244 16045 4179 4020
1:1919 888 546 5088 1090 5550 1948 1828
0:2985 1395 1928 369 888 1477 7672 3185
0:281 2798 655 283 2087 430 6971 3638
2:11567 28 14 477 746 1200 2 1259
0:135 447 120 17 2216 226 3660 3981
0:1700 1944 1712 5312 6416 5977 6572 4620
1:176 7969 546 2103 1137 230 504 2531
1:1987 230 504 5772 378 172 509 1888
0:1903 746 4808 3091 7672 7786 2712 1928
4:701 888 1948 1919 1454 2159 3966 4743
1:477 453 755 17 14 1200 226 281
0:655 380 5034 1681 281 3981 2798 10663
1:888 3981 7763 9103 7922 7545 5034 615
0:2462 2489 243 3981 3175 239 2788 525
0:1090 1891 4689 9392 2235 1181 9133 1937
0:888 1919 1948 2434 701 211 1929 1454
0:12453 11158 14177 12571 10605 11887 13874 12842
1:1538 3839 2728 921 1090 1890 521 6231
1:1408 1409 568 1175 2515 571 294 790
0:11571 14657 15041 11701 16084 13911 13863 16105
1:453 2216 755 17 226 5267 906 521
1:28 1400 27 477 1353 791 400 1200
0:1538 6359 9579 5588 1028 276 3839 4291
0:1115 845 2691 2393 15025 2558 1157 6497
0:1200 14 28 477 746 2 6495 27
2:906 2355 226 3981 120 335 1778 69
0:845 767 10632 14782 13301 5098 3088 16475
0:4069 2803 2235 521 3414 1208 6218 9210
0:888 1090 845 4689 701 1767 5690 1937
2:477 28 14 1200 23 483 27 746
1:14 28 1200 11567 477 16045 15783 746
1:5267 3414 2216 17 453 3808 1345 921
0:453 2216 2803 3414 247 888 4731 5267
0:1395 426 5690 2914 1922 8028 9597 1401
1:2240 1673 250 4518 5467 3591 1203 10397
0:1673 16318 15267 12831 98 767 5944 2944
0:5034 3981 12571 6347 615 2350 6294 5120
0:888 1919 1948 701 211 2434 1454 1929
0:5161 2208 1190 1199 6377 8606 1005 1203
2:16084 15041 13863 16749 14657 14715 11701 13911
0:684 2418 12526 10316 501 1538 16318 2944
3:11571 13911 13863 14988 14657 15041 11701 16084
1:28 746 8756 12453 11567 13883 12571 14
3:11571 418 15041 14657 11264 9432 11701 1648
1:1408 10907 571 6297 3291 7790 1409 3818
0:10632 14782 13301 14505 767 5098 3088 3199
1:2589 5920 2593 1038 4370 7054 4731 5872
0:888 7142 1919 10921 230 1041 2201 504
1:14 28 477 1200 27 2691 10071 483
0:845 1203 1115 837 2691 830 1161 1199
0:2240 4649 250 1673 5467 767 1203 1313
0:1104 1203 1192 1181 944 1009 1937 2240
1:830 740 1115 2691 8707 828 838 829
2:13863 14715 14988 13410 13911 15263 15531 14276
1:746 5690 12571 917 7672 4808 1380 2715
0:1090 2164 888 1937 701 1137 4349 1919
2:9103 3981 9966 7545 14177 10605 7922 12842
1:109 293 1192 1395 1179 335 1104 1987
0:13863 14988 14715 14502 3440 13911 15263 2418
0:281 655 814 2798 6971 430 280 380
0:10635 11538 6729 1190 9914 5108 12523 12516
0:2216 2462 17 5211 6091 3808 8955 226
0:3981 755 9103 7763 17 615 7170 5034
0:14607 16045 6294 3981 12244 4179 7545 12571
0:1665 1891 4689 1209 944 9392 1213 2221
0:2393 845 10978 2558 6497 15025 3244 11285
0:2489 2462 7545 3981 9103 11205 3175 2794
4:477 14 28 1200 15 42 8906 1955
0:276 47 1200 43 39 42 49 1631
0:1755 1175 1980 2240 3775 1451 2034 7030
0:3981 6294 12571 11158 10983 7545 9103 11887
2:477 14 1200 281 28 1357 2798 380
0:14 5312 1200 477 1944 15 6850 2
0:888 1919 1948 2434 211 1929 701 7142
0:16045 14782 14607 16318 6359 10632 3088 16493
2:921 453 1213 6231 2221 6314 521 1345
0:746 3981 5034 4983 483 917 1476 12571
0:971 954 5400 4137 4001 2902 4579 972
0:767 14782 14502 13410 3802 10632 4329 5098
